"","petrol","way"
"159",6.00980233351694,"B"
"160",6.02792718153233,"B"
"161",6.05208924118008,"B"
"162",6.03413639005309,"B"
"163",5.96775901985395,"B"
"164",6.14743478004542,"B"
"165",6.00695606658295,"B"
"166",5.95647008719777,"B"
"167",5.98103918036436,"B"
"168",5.99677555733786,"B"
"169",6.00730230249686,"B"
"170",5.96775433931778,"B"
"171",5.92956668645392,"B"
"172",6.03525892488807,"B"
"173",6.10943862965615,"B"
"174",5.96251081007505,"B"
"175",6.03650155144474,"B"
"176",6.09030086719272,"B"
"177",5.90729763560782,"B"
"178",6.07451035238941,"B"
"179",6.14551027174468,"B"
"180",6.00234961274593,"B"
"181",5.9592099191325,"B"
"182",6.11865510135515,"B"
"183",6.01466020764265,"B"
"184",5.97509804557588,"B"
"185",5.92233025004234,"B"
"186",5.97755814969917,"B"
"187",5.92531989924975,"B"
"188",6.00727363389681,"B"
"189",5.9801459598829,"B"
"190",6.00370731716088,"B"
"191",6.03136071003012,"B"
"192",6.01147992172157,"B"
"193",5.99612598399717,"B"
"194",5.95345438471677,"B"
"195",6.04246622685022,"B"
"196",5.92156469862151,"B"
"197",6.04819172368998,"B"
"198",5.9872960557533,"B"
"199",5.91780761967525,"B"
"200",6.01400561875089,"B"
"201",7.03521692752296,"B"
"202",6.96538453112184,"B"
"203",6.94848763590919,"B"
"204",7.09224469851014,"B"
"205",6.95488695703691,"B"
"206",6.98334039590908,"B"
"207",7.09669212898509,"B"
"208",6.87882696916202,"B"
"209",6.88262970739703,"B"
"210",6.85199440202881,"B"
"211",7.05178133591538,"B"
"212",7.01007232013267,"B"
"213",7.02553197992508,"B"
"214",7.05760246969505,"B"
"215",7.11755006589648,"B"
"216",6.92264421508937,"B"
"217",7.03857982218989,"B"
"218",6.87183789843253,"B"
"219",6.95398014008907,"B"
"220",6.99870001834747,"B"
"221",6.88785424955281,"B"
"222",6.86950410442981,"B"
"223",7.02224130102636,"B"
"224",6.98518527117603,"B"
"225",7.06285645348644,"B"
"226",7.02248760360269,"B"
"227",7.00051707728897,"B"
"228",7.06000402609481,"B"
"229",7.0166142250074,"B"
"230",6.85789957558767,"B"
"231",6.86134358009908,"B"
"232",7.03907137847133,"B"
"233",7.03457595267963,"B"
"234",6.94633511007874,"B"
"235",7.21914914325383,"B"
"236",6.74039494320724,"B"
"237",6.98431257340833,"B"
"238",6.95232425903374,"B"
"239",7.08070969748866,"B"
"240",6.99296062420574,"B"
"241",6.9686312654235,"C"
"242",7.04444113743381,"C"
"243",7.10715327672153,"C"
"244",7.03096903512609,"C"
"245",6.819979894273,"C"
"246",6.95720212220927,"C"
"247",6.93321041270621,"C"
"248",6.93547948606187,"C"
"249",6.99085334033904,"C"
"250",6.99838284449614,"C"
"251",7.13512386482364,"C"
"252",7.12048835790648,"C"
"253",6.93047776110372,"C"
"254",7.14889914459753,"C"
"255",7.04898042437593,"C"
"256",7.04719747469287,"C"
"257",7.01373792820056,"C"
"258",6.99947426907242,"C"
"259",7.08839388151844,"C"
"260",6.93679460832538,"C"
"261",7.16274919308283,"C"
"262",6.95298975130247,"C"
"263",7.12311855785022,"C"
"264",7.01232027809149,"C"
"265",6.92709153048147,"C"
"266",6.98917690178504,"C"
"267",6.94080906896478,"C"
"268",6.91216723513007,"C"
"269",6.99851044661275,"C"
"270",7.15441994560928,"C"
"271",6.93264871344963,"C"
"272",7.02849240178816,"C"
"273",7.06218878871414,"C"
"274",6.8718209433868,"C"
"275",6.87783762137124,"C"
"276",6.94319260639576,"C"
"277",7.19050233626668,"C"
"278",6.93842642004476,"C"
"279",6.95746307782688,"C"
"280",7.13554743186522,"C"
"281",6.92968265631414,"C"
"282",7.07106355682736,"C"
"283",6.9086770790837,"C"
"284",7.09889597538519,"C"
"285",7.03067941080413,"C"
"286",7.03712383652203,"C"
"287",6.8421589946978,"C"
"288",6.86950565529367,"C"
"289",7.04448164513027,"C"
"290",6.9387494016377,"C"
"291",6.99053488704452,"C"
"292",7.02843783273389,"C"
"293",6.97652814757386,"C"
"294",6.94061687752021,"C"
"295",7.10096120037424,"C"
"296",6.99840664956843,"C"
"297",7.05476320730173,"C"
"298",6.96932989544487,"C"
"299",7.04773000321657,"C"
"300",7.24486084827305,"C"
